web-scraper-order,web-scraper-start-url,enkelt-link,enkelt-link-href,afdeling,rent
"1605905190-1829","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8381+Tilst=14&omr-data-carrier=8381+Tilst&BoligOmraader=14&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1287&selskab=126&afdeling=111&antalrum=5","Afd. 111 Langkærparken","9.520 Kr."
"1605905238-1835","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8381+Tilst=14&omr-data-carrier=8381+Tilst&BoligOmraader=14&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=35&selskab=45&afdeling=9&antalrum=3","Afd. 09 Rønnehegnet","6.541 Kr."
"1605905270-1836","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8381+Tilst=14&omr-data-carrier=8381+Tilst&BoligOmraader=14&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=200&selskab=45&afdeling=9&antalrum=3","Afd. 09 Rønnehegnet","7.406 Kr."
"1605904965-1820","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8381+Tilst=14&omr-data-carrier=8381+Tilst&BoligOmraader=14&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=2504&selskab=126&afdeling=134&antalrum=2","Afd. 134 Ertebjerg","5.525 Kr."
"1605904678-1811","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8381+Tilst=14&omr-data-carrier=8381+Tilst&BoligOmraader=14&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=2800&selskab=126&afdeling=140&antalrum=2","Afd. 140 Poppelhegnet","5.778 Kr."
"1605905195-1831","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8381+Tilst=14&omr-data-carrier=8381+Tilst&BoligOmraader=14&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1379&selskab=126&afdeling=111&antalrum=3","Afd. 111 Langkærparken","7.128 Kr."
"1605904662-1806","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8381+Tilst=14&omr-data-carrier=8381+Tilst&BoligOmraader=14&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=3","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=2820&selskab=126&afdeling=140&antalrum=3","Afd. 140 Poppelhegnet","6.700 Kr."
"1605904655-1803","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8381+Tilst=14&omr-data-carrier=8381+Tilst&BoligOmraader=14&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=3","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=147&selskab=328&afdeling=16&antalrum=5","Afd. 16 Græsvangen","10.148 Kr."
"1605905307-1837","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8381+Tilst=14&omr-data-carrier=8381+Tilst&BoligOmraader=14&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=151&selskab=45&afdeling=9&antalrum=2","Afd. 09 Rønnehegnet","6.671 Kr."
"1605904716-1813","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8381+Tilst=14&omr-data-carrier=8381+Tilst&BoligOmraader=14&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=2701&selskab=126&afdeling=139&antalrum=3","Afd. 139 Moseparken","6.536 Kr."
