web-scraper-order,web-scraper-start-url,enkelt-link,enkelt-link-href,afdeling,rent
"1605884900-1253","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8230+%C3%85byh%C3%B8j=05&omr-data-carrier=8230+%C3%85byh%C3%B8j&BoligOmraader=05&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=3","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=124&selskab=126&afdeling=303&antalrum=3","Afd. 303 O.I. Offersensvej","7.197 Kr."
"1605884843-1247","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8230+%C3%85byh%C3%B8j=05&omr-data-carrier=8230+%C3%85byh%C3%B8j&BoligOmraader=05&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=3","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=210&selskab=126&afdeling=306&antalrum=3","Afd. 306 A. Jensensvej","5.371 Kr."
"1605885227-1281","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8230+%C3%85byh%C3%B8j=05&omr-data-carrier=8230+%C3%85byh%C3%B8j&BoligOmraader=05&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=152&selskab=126&afdeling=104&antalrum=3","Afd. 104 Banely","5.745 Kr."
"1605884799-1229","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8230+%C3%85byh%C3%B8j=05&omr-data-carrier=8230+%C3%85byh%C3%B8j&BoligOmraader=05&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=4","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=567&selskab=126&afdeling=310&antalrum=4","Afd. 310 Åbyhøjgård","8.008 Kr."
"1605884811-1234","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8230+%C3%85byh%C3%B8j=05&omr-data-carrier=8230+%C3%85byh%C3%B8j&BoligOmraader=05&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=4","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1654&selskab=126&afdeling=309&antalrum=3","Afd. 309 Henrik Hertzvej /Vibyvej","6.154 Kr."
"1605885144-1274","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8230+%C3%85byh%C3%B8j=05&omr-data-carrier=8230+%C3%85byh%C3%B8j&BoligOmraader=05&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=470&selskab=126&afdeling=107&antalrum=4","Afd. 107 Birkeparken","6.518 Kr."
"1605884804-1231","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8230+%C3%85byh%C3%B8j=05&omr-data-carrier=8230+%C3%85byh%C3%B8j&BoligOmraader=05&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=4","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1679&selskab=126&afdeling=309&antalrum=4","Afd. 309 Henrik Hertzvej /Vibyvej","6.375 Kr."
"1605884889-1251","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8230+%C3%85byh%C3%B8j=05&omr-data-carrier=8230+%C3%85byh%C3%B8j&BoligOmraader=05&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=3","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=140&selskab=126&afdeling=303&antalrum=4","Afd. 303 O.I. Offersensvej","8.189 Kr."
"1605885272-1285","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8230+%C3%85byh%C3%B8j=05&omr-data-carrier=8230+%C3%85byh%C3%B8j&BoligOmraader=05&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=70&selskab=126&afdeling=101&antalrum=3","Afd. 101 Engparken","5.097 Kr."
"1605884802-1230","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8230+%C3%85byh%C3%B8j=05&omr-data-carrier=8230+%C3%85byh%C3%B8j&BoligOmraader=05&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=4","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=558&selskab=126&afdeling=310&antalrum=3","Afd. 310 Åbyhøjgård","6.829 Kr."
