web-scraper-order,web-scraper-start-url,enkelt-link,enkelt-link-href,afdeling,rent
"1605886526-1435","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8260+Viby+J%2FStavtrup=24&omr-data-carrier=8260+Viby+J%2FStavtrup&BoligOmraader=24&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=5","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1137&selskab=715&afdeling=24&antalrum=4","Afd. 24 Søndervangen","6.487 Kr."
"1605886282-1404","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8260+Viby+J%2FStavtrup=24&omr-data-carrier=8260+Viby+J%2FStavtrup&BoligOmraader=24&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=7","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1003&selskab=715&afdeling=78&antalrum=3","Afd. 78 Engelundsvej","6.767 Kr."
"1605887352-1511","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8260+Viby+J%2FStavtrup=24&omr-data-carrier=8260+Viby+J%2FStavtrup&BoligOmraader=24&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=726&selskab=31&afdeling=17&antalrum=3","Afd. 17 Uffesvej og Rosenvangs Allé","7.322 Kr."
"1605887343-1510","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8260+Viby+J%2FStavtrup=24&omr-data-carrier=8260+Viby+J%2FStavtrup&BoligOmraader=24&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=628&selskab=31&afdeling=17&antalrum=4","Afd. 17 Uffesvej og Rosenvangs Allé","7.367 Kr."
"1605886498-1434","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8260+Viby+J%2FStavtrup=24&omr-data-carrier=8260+Viby+J%2FStavtrup&BoligOmraader=24&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=6","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1151&selskab=715&afdeling=24&antalrum=4","Afd. 24 Søndervangen","8.643 Kr."
"1605886597-1441","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8260+Viby+J%2FStavtrup=24&omr-data-carrier=8260+Viby+J%2FStavtrup&BoligOmraader=24&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=5","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1087&selskab=715&afdeling=19&antalrum=4","Afd. 19 Ny Vestergårdspark 2","6.951 Kr."
"1605887239-1497","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8260+Viby+J%2FStavtrup=24&omr-data-carrier=8260+Viby+J%2FStavtrup&BoligOmraader=24&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1&selskab=328&afdeling=34&antalrum=4","Afd. 34 Holme Møllevej","7.344 Kr."
"1605886905-1468","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8260+Viby+J%2FStavtrup=24&omr-data-carrier=8260+Viby+J%2FStavtrup&BoligOmraader=24&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=3","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1023&selskab=715&afdeling=10&antalrum=4","Afd. 10 Lykkesholms Allé","6.686 Kr."
"1605886959-1473","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8260+Viby+J%2FStavtrup=24&omr-data-carrier=8260+Viby+J%2FStavtrup&BoligOmraader=24&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=3","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1018&selskab=715&afdeling=8&antalrum=2","Afd. 08 Byvangen","5.037 Kr."
"1605886275-1402","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8260+Viby+J%2FStavtrup=24&omr-data-carrier=8260+Viby+J%2FStavtrup&BoligOmraader=24&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=8","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1014&selskab=715&afdeling=78&antalrum=4","Afd. 78 Engelundsvej","7.559 Kr."
