"","�..web.scraper.order","web.scraper.start.url","enkelt.link","enkelt.link.href","afdeling","rent"
"1","1605882226-983","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8200+Aarhus+N=02&omr-data-carrier=8200+Aarhus+N&BoligOmraader=02&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=3","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=13&selskab=31&afdeling=76&antalrum=3","Afd. 76 Helsingforsgade","7.923 Kr."
"2","1605881372-861","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8200+Aarhus+N=02&omr-data-carrier=8200+Aarhus+N&BoligOmraader=02&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=11","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=134&selskab=881&afdeling=19&antalrum=2","Afd. 19 Vorrevangsparken","5.074 Kr."
"3","1605881913-941","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8200+Aarhus+N=02&omr-data-carrier=8200+Aarhus+N&BoligOmraader=02&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=6","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=610&selskab=328&afdeling=7&antalrum=3","Afd. 07 Illerupvej","5.990 Kr."
"4","1605882256-991","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8200+Aarhus+N=02&omr-data-carrier=8200+Aarhus+N&BoligOmraader=02&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=3","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=113&selskab=31&afdeling=29&antalrum=4","Afd. 29 Kalmargade","8.561 Kr."
"5","1605882199-981","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8200+Aarhus+N=02&omr-data-carrier=8200+Aarhus+N&BoligOmraader=02&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=3","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=3756&selskab=126&afdeling=128&antalrum=3","Afd. 128 Lisbjerg Bakke","9.408 Kr."
"6","1605881910-940","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8200+Aarhus+N=02&omr-data-carrier=8200+Aarhus+N&BoligOmraader=02&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=6","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=615&selskab=328&afdeling=7&antalrum=4","Afd. 07 Illerupvej","6.565 Kr."
"7","1605882159-972","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8200+Aarhus+N=02&omr-data-carrier=8200+Aarhus+N&BoligOmraader=02&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=4","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1083&selskab=289&afdeling=11&antalrum=3","Afd. 09 Bildbjerg Parkvej m.fl.","7.162 Kr."
"8","1605881395-870","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8200+Aarhus+N=02&omr-data-carrier=8200+Aarhus+N&BoligOmraader=02&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=10","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=817&selskab=881&afdeling=15&antalrum=3","Afd. 15 Skovvangsparken","6.213 Kr."
"9","1605881358-855","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8200+Aarhus+N=02&omr-data-carrier=8200+Aarhus+N&BoligOmraader=02&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=11","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=429&selskab=881&afdeling=20&antalrum=4","Afd. 20 Niels Ebbesens gård","5.538 Kr."
"10","1605882525-1016","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8200+Aarhus+N=02&omr-data-carrier=8200+Aarhus+N&BoligOmraader=02&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=41&selskab=31&afdeling=18&antalrum=3","Afd. 18 Trøjborgvej","5.755 Kr."
