web-scraper-order,web-scraper-start-url,enkelt-link,enkelt-link-href,afdeling,rent
"1605904346-1800","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8380+Trige%2FSp%C3%B8rring=13&omr-data-carrier=8380+Trige%2FSp%C3%B8rring&BoligOmraader=13&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=3303&selskab=289&afdeling=35&antalrum=3","Afd. 19 Trige Centervej","7.305 Kr."
"1605904343-1799","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8380+Trige%2FSp%C3%B8rring=13&omr-data-carrier=8380+Trige%2FSp%C3%B8rring&BoligOmraader=13&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=3301&selskab=289&afdeling=35&antalrum=4","Afd. 19 Trige Centervej","8.536 Kr."
"1605904341-1798","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8380+Trige%2FSp%C3%B8rring=13&omr-data-carrier=8380+Trige%2FSp%C3%B8rring&BoligOmraader=13&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=3784&selskab=289&afdeling=36&antalrum=3","Afd. 20 Trige Parkvej","8.118 Kr."
"1605904351-1802","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8380+Trige%2FSp%C3%B8rring=13&omr-data-carrier=8380+Trige%2FSp%C3%B8rring&BoligOmraader=13&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=13&selskab=31&afdeling=44&antalrum=3","Afd. 44 Hjulby Hegn","7.544 Kr."
"1605904348-1801","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8380+Trige%2FSp%C3%B8rring=13&omr-data-carrier=8380+Trige%2FSp%C3%B8rring&BoligOmraader=13&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=32&selskab=31&afdeling=44&antalrum=4","Afd. 44 Hjulby Hegn","8.996 Kr."
