web-scraper-order,web-scraper-start-url,enkelt-link,enkelt-link-href,afdeling,rent
"1605907570-1915","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8530+Hjortsh%C3%B8j%2FH%C3%A5rup=20&omr-data-carrier=8530+Hjortsh%C3%B8j%2FH%C3%A5rup&BoligOmraader=20&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=3","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=47&selskab=881&afdeling=65&antalrum=4","Afd. 65 Æblelunden","10.211 Kr."
"1605907734-1926","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8530+Hjortsh%C3%B8j%2FH%C3%A5rup=20&omr-data-carrier=8530+Hjortsh%C3%B8j%2FH%C3%A5rup&BoligOmraader=20&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=774&selskab=126&afdeling=313&antalrum=4","Afd. 313 Hjortshøjparken","8.735 Kr."
"1605907799-1928","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8530+Hjortsh%C3%B8j%2FH%C3%A5rup=20&omr-data-carrier=8530+Hjortsh%C3%B8j%2FH%C3%A5rup&BoligOmraader=20&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=734&selskab=126&afdeling=313&antalrum=2","Afd. 313 Hjortshøjparken","6.102 Kr."
"1605908073-1935","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8530+Hjortsh%C3%B8j%2FH%C3%A5rup=20&omr-data-carrier=8530+Hjortsh%C3%B8j%2FH%C3%A5rup&BoligOmraader=20&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=3465&selskab=126&afdeling=126&antalrum=3","Afd. 126 Østergårdstoften","6.553 Kr."
"1605907589-1921","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8530+Hjortsh%C3%B8j%2FH%C3%A5rup=20&omr-data-carrier=8530+Hjortsh%C3%B8j%2FH%C3%A5rup&BoligOmraader=20&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=5406&selskab=289&afdeling=49&antalrum=3","Afd. 30 Hjortshøj Møllevej","7.501 Kr."
"1605907562-1912","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8530+Hjortsh%C3%B8j%2FH%C3%A5rup=20&omr-data-carrier=8530+Hjortsh%C3%B8j%2FH%C3%A5rup&BoligOmraader=20&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=3","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=15&selskab=951&afdeling=4820&antalrum=4","Afd. 4820 Hjortshøj","8.625 Kr."
"1605907567-1914","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8530+Hjortsh%C3%B8j%2FH%C3%A5rup=20&omr-data-carrier=8530+Hjortsh%C3%B8j%2FH%C3%A5rup&BoligOmraader=20&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=3","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=25&selskab=881&afdeling=65&antalrum=5","Afd. 65 Æblelunden","10.016 Kr."
"1605907834-1929","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8530+Hjortsh%C3%B8j%2FH%C3%A5rup=20&omr-data-carrier=8530+Hjortsh%C3%B8j%2FH%C3%A5rup&BoligOmraader=20&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=702&selskab=126&afdeling=312&antalrum=4","Afd. 312 Hjortshøj Møllevej","9.611 Kr."
"1605907576-1917","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8530+Hjortsh%C3%B8j%2FH%C3%A5rup=20&omr-data-carrier=8530+Hjortsh%C3%B8j%2FH%C3%A5rup&BoligOmraader=20&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=3","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=59&selskab=881&afdeling=65&antalrum=3","Afd. 65 Æblelunden","9.154 Kr."
"1605908688-1952","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8530+Hjortsh%C3%B8j%2FH%C3%A5rup=20&omr-data-carrier=8530+Hjortsh%C3%B8j%2FH%C3%A5rup&BoligOmraader=20&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1&selskab=31&afdeling=34&antalrum=2","Afd. 34 Salonikivej","5.224 Kr."
"1605908379-1943","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8530+Hjortsh%C3%B8j%2FH%C3%A5rup=20&omr-data-carrier=8530+Hjortsh%C3%B8j%2FH%C3%A5rup&BoligOmraader=20&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=62&selskab=31&afdeling=73&antalrum=2","Afd. 73 Virup Skovvej","6.417 Kr."
"1605907671-1924","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8530+Hjortsh%C3%B8j%2FH%C3%A5rup=20&omr-data-carrier=8530+Hjortsh%C3%B8j%2FH%C3%A5rup&BoligOmraader=20&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1212&selskab=126&afdeling=315&antalrum=3","Afd. 315 Højager","7.074 Kr."
"1605907597-1922","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8530+Hjortsh%C3%B8j%2FH%C3%A5rup=20&omr-data-carrier=8530+Hjortsh%C3%B8j%2FH%C3%A5rup&BoligOmraader=20&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=5424&selskab=289&afdeling=49&antalrum=2","Afd. 30 Hjortshøj Møllevej","6.145 Kr."
