web-scraper-order,web-scraper-start-url,enkelt-link,enkelt-link-href,afdeling,rent
"1605886089-1366","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8250+Eg%C3%A5%2FSk%C3%A6ring=07&omr-data-carrier=8250+Eg%C3%A5%2FSk%C3%A6ring&BoligOmraader=07&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1&selskab=881&afdeling=66&antalrum=2","Afd. 66 Skæring Bæk","7.592 Kr."
"1605886114-1376","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8250+Eg%C3%A5%2FSk%C3%A6ring=07&omr-data-carrier=8250+Eg%C3%A5%2FSk%C3%A6ring&BoligOmraader=07&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1242&selskab=182&afdeling=20&antalrum=4","Afd. 20 Egå Mosevej","8.150 Kr."
"1605886093-1368","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8250+Eg%C3%A5%2FSk%C3%A6ring=07&omr-data-carrier=8250+Eg%C3%A5%2FSk%C3%A6ring&BoligOmraader=07&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=568&selskab=881&afdeling=48&antalrum=4","Afd. 48 Brohaven","9.470 Kr."
"1605886084-1364","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8250+Eg%C3%A5%2FSk%C3%A6ring=07&omr-data-carrier=8250+Eg%C3%A5%2FSk%C3%A6ring&BoligOmraader=07&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=2&selskab=881&afdeling=66&antalrum=3","Afd. 66 Skæring Bæk","8.917 Kr."
"1605886175-1389","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8250+Eg%C3%A5%2FSk%C3%A6ring=07&omr-data-carrier=8250+Eg%C3%A5%2FSk%C3%A6ring&BoligOmraader=07&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=14&selskab=31&afdeling=48&antalrum=4","Afd. 48 Skæring Parkvej","8.618 Kr."
"1605886123-1380","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8250+Eg%C3%A5%2FSk%C3%A6ring=07&omr-data-carrier=8250+Eg%C3%A5%2FSk%C3%A6ring&BoligOmraader=07&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1229&selskab=182&afdeling=20&antalrum=3","Afd. 20 Egå Mosevej","6.614 Kr."
"1605886138-1385","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8250+Eg%C3%A5%2FSk%C3%A6ring=07&omr-data-carrier=8250+Eg%C3%A5%2FSk%C3%A6ring&BoligOmraader=07&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=11&selskab=31&afdeling=55&antalrum=4","Afd. 55 Skæring Parkvej","8.174 Kr."
"1605886091-1367","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8250+Eg%C3%A5%2FSk%C3%A6ring=07&omr-data-carrier=8250+Eg%C3%A5%2FSk%C3%A6ring&BoligOmraader=07&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=566&selskab=881&afdeling=48&antalrum=5","Afd. 48 Brohaven","11.135 Kr."
"1605886102-1372","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8250+Eg%C3%A5%2FSk%C3%A6ring=07&omr-data-carrier=8250+Eg%C3%A5%2FSk%C3%A6ring&BoligOmraader=07&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=533&selskab=881&afdeling=47&antalrum=4","Afd. 47 Egå II","6.144 Kr."
"1605886082-1363","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8250+Eg%C3%A5%2FSk%C3%A6ring=07&omr-data-carrier=8250+Eg%C3%A5%2FSk%C3%A6ring&BoligOmraader=07&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=5&selskab=881&afdeling=66&antalrum=3","Afd. 66 Skæring Bæk","10.320 Kr."
