"","�..web.scraper.order","web.scraper.start.url","enkelt.link","enkelt.link.href","afdeling","rent"
"11","1605880965-810","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=3","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=234&selskab=289&afdeling=2&antalrum=3","Afd. 02 Viborgvej m.fl.","5.132 Kr."
"12","1605880518-736","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=8","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=113&selskab=881&afdeling=60&antalrum=5","Afd. 60 Frederiksbjerg-bo","7.026 Kr."
"13","1605880493-725","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=8","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=83&selskab=881&afdeling=74&antalrum=3","Afd. 74 Nørregade/Nørreport","6.853 Kr."
"14","1605881097-836","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1&selskab=31&afdeling=33&antalrum=2","Afd. 33 Vestre Ringgade/Gustav Wieds Vej","6.102 Kr."
"15","1605880882-790","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=4","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=23&selskab=328&afdeling=10&antalrum=2","Afd. 10 Åbenrågade","5.054 Kr."
"16","1605880715-773","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=5","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1030&selskab=715&afdeling=44&antalrum=3","Afd. 44 Fiskergade","9.269 Kr."
"17","1605880842-785","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=4","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=8&selskab=328&afdeling=24&antalrum=3","Afd. 24 Bødker Balles Gård","6.257 Kr."
"18","1605880930-805","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=3","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=313&selskab=289&afdeling=3&antalrum=4","Afd. 03 Kaserneboulevarden","9.803 Kr."
"19","1605880660-764","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=6","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=789&selskab=881&afdeling=7&antalrum=3","Afd. 07 Ringkøbingvej","6.942 Kr."
"20","1605880758-777","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=5","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=113&selskab=698&afdeling=23&antalrum=4","Afd. 23 Markus Kirkeplads/Grønnegade","9.342 Kr."
"21","1605880502-729","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=8","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=6&selskab=881&afdeling=73&antalrum=2","Afd. 73 Fænøgade/Graven/Volden","6.366 Kr."
"22","1605880495-726","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=8","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=64&selskab=881&afdeling=74&antalrum=2","Afd. 74 Nørregade/Nørreport","5.907 Kr."
"23","1605880700-769","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=5","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=459&selskab=881&afdeling=5&antalrum=3","Afd. 05 Teglgården","4.596 Kr."
"24","1605880532-741","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=7","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=906&selskab=881&afdeling=29&antalrum=3","Afd. 29 Højhuset Langenæs","8.054 Kr."
"25","1605881133-847","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=9&selskab=31&afdeling=4&antalrum=3","Afd, 4 H.V. Kaalunds Vej / Chr. Molbechs Vej","5.834 Kr."
"26","1605880509-732","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=8","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=52&selskab=881&afdeling=72&antalrum=4","Afd. 72 Nygade","7.956 Kr."
"27","1605880933-806","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=3","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=302&selskab=289&afdeling=3&antalrum=3","Afd. 03 Kaserneboulevarden","9.440 Kr."
"28","1605880774-779","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=5","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=41&selskab=698&afdeling=23&antalrum=3","Afd. 23 Markus Kirkeplads/Grønnegade","7.391 Kr."
"29","1605880541-745","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=7","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=11&selskab=881&afdeling=25&antalrum=2","Afd. 25 Klostervangen","5.265 Kr."
"30","1605881099-837","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1&selskab=31&afdeling=26&antalrum=4","Afd. 26 Vestre Ringgade/Gustav Wieds Vej","8.231 Kr."
"31","1605880869-788","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=4","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=16&selskab=328&afdeling=10&antalrum=4","Afd. 10 Åbenrågade","6.719 Kr."
"32","1605880926-803","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=3","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=348&selskab=289&afdeling=4&antalrum=2","Afd. 04 Silkeborgvej","6.504 Kr."
