web-scraper-order,web-scraper-start-url,enkelt-link,enkelt-link-href,afdeling,rent
"1605889111-1685","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8320+M%C3%A5rslet=22&omr-data-carrier=8320+M%C3%A5rslet&BoligOmraader=22&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=56&selskab=31&afdeling=38&antalrum=4","Afd. 38 Visbjerg Hegn","9.978 Kr."
"1605889104-1682","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8320+M%C3%A5rslet=22&omr-data-carrier=8320+M%C3%A5rslet&BoligOmraader=22&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=5&selskab=31&afdeling=71&antalrum=4","Afd. 71 Damgårdstoften","7.493 Kr."
"1605889106-1683","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8320+M%C3%A5rslet=22&omr-data-carrier=8320+M%C3%A5rslet&BoligOmraader=22&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=11&selskab=31&afdeling=71&antalrum=4","Afd. 71 Damgårdstoften","7.022 Kr."
"1605889108-1684","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8320+M%C3%A5rslet=22&omr-data-carrier=8320+M%C3%A5rslet&BoligOmraader=22&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1&selskab=31&afdeling=71&antalrum=3","Afd. 71 Damgårdstoften","7.022 Kr."
"1605889113-1686","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8320+M%C3%A5rslet=22&omr-data-carrier=8320+M%C3%A5rslet&BoligOmraader=22&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=40&selskab=31&afdeling=38&antalrum=3","Afd. 38 Visbjerg Hegn","8.675 Kr."
