web-scraper-order,web-scraper-start-url,enkelt-link,enkelt-link-href,afdeling,rent
"1605909015-1972","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8541+Sk%C3%B8dstrup%2FL%C3%B8gten=23&omr-data-carrier=8541+Sk%C3%B8dstrup%2FL%C3%B8gten&BoligOmraader=23&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=4052&selskab=126&afdeling=132&antalrum=4","Afd. 132 Lauritshøj","8.237 Kr."
"1605909059-1975","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8541+Sk%C3%B8dstrup%2FL%C3%B8gten=23&omr-data-carrier=8541+Sk%C3%B8dstrup%2FL%C3%B8gten&BoligOmraader=23&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=3&selskab=45&afdeling=19&antalrum=5","Afd. 19 Tronkærgårdsvej","10.557 Kr."
"1605909126-1977","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8541+Sk%C3%B8dstrup%2FL%C3%B8gten=23&omr-data-carrier=8541+Sk%C3%B8dstrup%2FL%C3%B8gten&BoligOmraader=23&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=2&selskab=45&afdeling=19&antalrum=3","Afd. 19 Tronkærgårdsvej","8.032 Kr."
"1605908968-1953","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8541+Sk%C3%B8dstrup%2FL%C3%B8gten=23&omr-data-carrier=8541+Sk%C3%B8dstrup%2FL%C3%B8gten&BoligOmraader=23&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1&selskab=328&afdeling=52&antalrum=5","Afd. 52 Skødstrupbakken","9.556 Kr."
"1605909000-1966","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8541+Sk%C3%B8dstrup%2FL%C3%B8gten=23&omr-data-carrier=8541+Sk%C3%B8dstrup%2FL%C3%B8gten&BoligOmraader=23&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=138&selskab=328&afdeling=32&antalrum=3","Afd. 32 Engskovbakken","6.441 Kr."
"1605909010-1970","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8541+Sk%C3%B8dstrup%2FL%C3%B8gten=23&omr-data-carrier=8541+Sk%C3%B8dstrup%2FL%C3%B8gten&BoligOmraader=23&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=412&selskab=328&afdeling=31&antalrum=3","Afd. 31 Hjelmagerparken","6.524 Kr."
"1605909093-1976","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8541+Sk%C3%B8dstrup%2FL%C3%B8gten=23&omr-data-carrier=8541+Sk%C3%B8dstrup%2FL%C3%B8gten&BoligOmraader=23&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1&selskab=45&afdeling=19&antalrum=4","Afd. 19 Tronkærgårdsvej","9.394 Kr."
"1605908986-1961","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8541+Sk%C3%B8dstrup%2FL%C3%B8gten=23&omr-data-carrier=8541+Sk%C3%B8dstrup%2FL%C3%B8gten&BoligOmraader=23&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=2&selskab=328&afdeling=49&antalrum=4","Afd. 49 Engskovvænget","7.627 Kr."
"1605908975-1956","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8541+Sk%C3%B8dstrup%2FL%C3%B8gten=23&omr-data-carrier=8541+Sk%C3%B8dstrup%2FL%C3%B8gten&BoligOmraader=23&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1&selskab=328&afdeling=50&antalrum=4","Afd. 50 Lauritshøj","9.506 Kr."
"1605908990-1963","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8541+Sk%C3%B8dstrup%2FL%C3%B8gten=23&omr-data-carrier=8541+Sk%C3%B8dstrup%2FL%C3%B8gten&BoligOmraader=23&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=5&selskab=328&afdeling=48&antalrum=3","Afd. 48 Stationsvangen","7.390 Kr."
